id,value
60dcd6597ac34d97aa2fc913b95009c4,522
ace97a31c0b34c6cafc8c6cbb76ff49c,643
518b5db5bfc14ecb8bf921c5b417b7c2,570
e3071268cd964a258bced22b36f98f79,365
01e95a079e9040db8be63d2cfea342e4,824
b231ca1cbc38421c9d62c0362a8b8224,488
dddc92745217473eb64bbc17ccb6e28a,462
f87bc3be8057483d88d74ce90b804b47,684
4e1a008c28724dbf899aff4ab0b360e7,529
b7c3f4f44b0b42eba5041e47aefd1a0a,697
4e9f9fadeec444168664d1860168b98f,822
50c1c2dfcc1c4cdbaa9d86708c3ec520,237
864e63885efd431494dbdceafe21118c,995
08eac98b7e4d4f68a8816a4d81683397,190
0ecb453900ad4e7e8cea48ddd91d1d8d,256
f59bd3bc27ae4e48b406e948242399e6,667
e594ca1359734143a0e4c8ed2386fe25,953
4a51a102ddd040b4ad6c2451ac3338d1,374
58a8861c109b4539905d00aa747e133a,392
607956a91a81409d8a9248f0c034f5b5,274
6571a4a49e1f49b2a77357d619d4c3f7,131
11dd971189c44205be76a2d3076ef620,950
b8d6f5f4a3f5482aba50f8bf917afa1b,516
d3da3b1418d24c2493be34e1be8db8b2,8
6481efb9d7c34552b6d4f174a41ee8bf,609
f8725095491f4541af2595f59140c4bb,537
455a40a23c5041d4b29a131139f15cb8,277
5332bf36e84245f8a0cfb30b27888439,842
bc93860a97fc4a7fabbd121fe5374f41,597
76496da58ded47ed81e0569ffaf9cbd4,86
fc50c280f95a4bedbcfcd16237fd284f,244
c928e61dc0364a84ae3cb43b2fd5bae1,794
9bc62b12e73744009d6ddf4347ca4116,585
baf2b5ca3d45429caab1be4b8e7c98e9,782
d13a3ac6498241439b00fc93e2d67317,133
85fb8261b7bb41bcaac98951a8f456c3,44
4843d6636c8b481ba9cc24258f2a20e2,272
4ef8a3f27eef47368a6006633e56d268,465
e0b6aa78ac3c4edf8077339f9929d99f,288
24b6c89701ec44489877d8cf3859a2fd,902
430bfd9f9cfd4340ae87bb6bcb3c01bf,186
3df47042ad3e4ec7b72676d5b2d7c20b,893
0ca64cafd5fe49c8987a6824587db5f4,686
452d1354bac340d7a0f914f4f7b8d956,808
8c0f622f4b444d4295b4e97a65f0248c,445
37a35a9637454720a4de99999003b299,932
0f4c5f2e048b4a1aa23fb12b13aaa383,984
685ff751d38c481a846e0cdf867ee32b,901
31406178e8274ab1833c86fdd99c2848,817
56169aa14cab46ba895c344357e81d0b,904
1f09418af239400ba8398821c8ba1bb5,167
a3f9116663aa49999c38d9683d64c684,671
c776566be2ee4fcf81bbc8d0de0f72ea,239
e4e79190d081421995371518736ebcf3,495
d2b82ca9ceee4136bab07ab1f27b948d,793
2835385bd022409ca84a56182df92d98,826
f00b645983424d0787853f6604417f99,826
1b047a93069c4e6bab350c20bf7c7792,982
173e747195034487835a9b4a61457c1b,131
8b50388707e5481cb6cdb2b5ae3d3527,151
514e21f991434770996eb75dddf507c8,797
30191a38276e4d8fa2e7348716cf999b,562
310ac4971af047ac8c52832845d5e74e,337
e79f48d5b1d949cb9084560fadd9aaf6,110
ab80778c1e874768ac37c09bb98cb21c,799
de1827c2462b4978854ee89ff8fff839,907
56857206fe2e415f95b3776e2094e51a,114
7ef94c72d20843db86b07caaddc225a6,162
1b4726a967c7425e9e91d3458c3610fe,803
51a06481dba945428cb575149e516311,846
0b4dc2e0ff824e57b1d67a17a59395eb,179
12c6f51528404a219526a7dc12cf6851,336
001a7039786343d9aed1282ff2ba654c,465
c80500c6aa5d4e0b85eaf84ebac3b7fe,511
10cba3acc0f34ff09c0026ff77c664df,405
1495bb36fbe7417aa7b684df7978d378,820
b093727115154e10ac744ac43bd398fc,854
ec43b4bfaf384e71a39e7b80f00c94e0,377
bded7bc1434f4740a8ae4d98c2e090de,87
